Nivel,Fecha y hora,Origen,Id. del evento,Categoría de la tarea
Advertencia,25/11/2024 14:45:20,Microsoft-Windows-DNS-Client,1014,(1014),La resolución de nombres para el nombre t-ring-fdv2.msedge.net agotó el tiempo de espera después de que ninguno de los servidores DNS configurados respondiera. PID de cliente 2108.
Advertencia,25/11/2024 14:42:27,Microsoft-Windows-EnhancedPhishingProtection-Events,8265,Ninguno,Aggregated Threat assessment of current system instance
Advertencia,25/11/2024 14:08:23,Microsoft-Windows-DistributedCOM,10016,Ninguno,"La configuración de permisos específico de la aplicación no concede el permiso Activación Local para la aplicación de servidor COM con CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 y APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 al usuario DESKTOP-J7297OU\Invitado1 con SID (S-1-5-21-2406599888-185599422-2313661707-1002) en la dirección LocalHost (con LRPC) que se ejecuta en el contenedor de aplicaciones con SID MicrosoftWindows.Client.WebExperience_524.30502.30.0_x64__cw5n1h2txyewy (No disponible). Este permiso de seguridad se puede modificar mediante la herramienta administrativa Servicios de componentes."
Advertencia,25/11/2024 13:48:26,Microsoft-Windows-DistributedCOM,10016,Ninguno,"La configuración de permisos específico de la aplicación no concede el permiso Activación Local para la aplicación de servidor COM con CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 y APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 al usuario DESKTOP-J7297OU\USUARIO con SID (S-1-5-21-2406599888-185599422-2313661707-1001) en la dirección LocalHost (con LRPC) que se ejecuta en el contenedor de aplicaciones con SID MicrosoftWindows.Client.WebExperience_524.30502.30.0_x64__cw5n1h2txyewy (No disponible). Este permiso de seguridad se puede modificar mediante la herramienta administrativa Servicios de componentes."
Advertencia,25/11/2024 13:12:02,Microsoft-Windows-DistributedCOM,10016,Ninguno,"La configuración de permisos específico de la aplicación no concede el permiso Activación Local para la aplicación de servidor COM con CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 y APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 al usuario DESKTOP-J7297OU\USUARIO con SID (S-1-5-21-2406599888-185599422-2313661707-1001) en la dirección LocalHost (con LRPC) que se ejecuta en el contenedor de aplicaciones con SID No disponible (No disponible). Este permiso de seguridad se puede modificar mediante la herramienta administrativa Servicios de componentes."
Advertencia,25/11/2024 13:08:28,Microsoft-Windows-DistributedCOM,10016,Ninguno,"La configuración de permisos específico de la aplicación no concede el permiso Iniciar Local para la aplicación de servidor COM con CLSID 
Windows.SecurityCenter.SecurityAppBroker
 y APPID 
No disponible
 al usuario NT AUTHORITY\SYSTEM con SID (S-1-5-18) en la dirección LocalHost (con LRPC) que se ejecuta en el contenedor de aplicaciones con SID No disponible (No disponible). Este permiso de seguridad se puede modificar mediante la herramienta administrativa Servicios de componentes."
Advertencia,25/11/2024 13:08:28,Microsoft-Windows-DistributedCOM,10016,Ninguno,"La configuración de permisos específico de la aplicación no concede el permiso Iniciar Local para la aplicación de servidor COM con CLSID 
Windows.SecurityCenter.SecurityAppBroker
 y APPID 
No disponible
 al usuario NT AUTHORITY\SYSTEM con SID (S-1-5-18) en la dirección LocalHost (con LRPC) que se ejecuta en el contenedor de aplicaciones con SID No disponible (No disponible). Este permiso de seguridad se puede modificar mediante la herramienta administrativa Servicios de componentes."
Advertencia,25/11/2024 13:08:28,Microsoft-Windows-DistributedCOM,10016,Ninguno,"La configuración de permisos específico de la aplicación no concede el permiso Iniciar Local para la aplicación de servidor COM con CLSID 
Windows.SecurityCenter.WscBrokerManager
 y APPID 
No disponible
 al usuario NT AUTHORITY\SYSTEM con SID (S-1-5-18) en la dirección LocalHost (con LRPC) que se ejecuta en el contenedor de aplicaciones con SID No disponible (No disponible). Este permiso de seguridad se puede modificar mediante la herramienta administrativa Servicios de componentes."
Advertencia,25/11/2024 13:08:28,Microsoft-Windows-DistributedCOM,10016,Ninguno,"La configuración de permisos específico de la aplicación no concede el permiso Iniciar Local para la aplicación de servidor COM con CLSID 
Windows.SecurityCenter.WscBrokerManager
 y APPID 
No disponible
 al usuario NT AUTHORITY\SYSTEM con SID (S-1-5-18) en la dirección LocalHost (con LRPC) que se ejecuta en el contenedor de aplicaciones con SID No disponible (No disponible). Este permiso de seguridad se puede modificar mediante la herramienta administrativa Servicios de componentes."
Advertencia,25/11/2024 13:08:28,Microsoft-Windows-DistributedCOM,10016,Ninguno,"La configuración de permisos específico de la aplicación no concede el permiso Iniciar Local para la aplicación de servidor COM con CLSID 
Windows.SecurityCenter.WscDataProtection
 y APPID 
No disponible
 al usuario NT AUTHORITY\SYSTEM con SID (S-1-5-18) en la dirección LocalHost (con LRPC) que se ejecuta en el contenedor de aplicaciones con SID No disponible (No disponible). Este permiso de seguridad se puede modificar mediante la herramienta administrativa Servicios de componentes."
Error,25/11/2024 13:08:23,Service Control Manager,7009,Ninguno,Se agotó el tiempo de espera (30000 ms) para la conexión con el servicio Google Update Servicio (gupdate).
Error,25/11/2024 13:08:23,Service Control Manager,7000,Ninguno,"El servicio Google Update Servicio (gupdate) no pudo iniciarse debido al siguiente error: 
El servicio no respondió a tiempo a la solicitud de inicio o de control."
Advertencia,25/11/2024 13:06:16,Microsoft-Windows-WMI,63,Ninguno,"Un proveedor (IntelMEProv) se ha registrado en el espacio de nombres del Instrumental de administración de Windows, root\Intel_ME, para usar la cuenta LocalSystem. Esta cuenta tiene privilegios y el proveedor puede originar una infracción de seguridad si no suplanta correctamente las solicitudes de usuarios."
Advertencia,25/11/2024 13:06:16,Microsoft-Windows-WMI,63,Ninguno,"Un proveedor (IntelMEProv) se ha registrado en el espacio de nombres del Instrumental de administración de Windows, root\Intel_ME, para usar la cuenta LocalSystem. Esta cuenta tiene privilegios y el proveedor puede originar una infracción de seguridad si no suplanta correctamente las solicitudes de usuarios."
Advertencia,25/11/2024 13:06:16,Microsoft-Windows-WMI,63,Ninguno,"Un proveedor (IntelMEProv) se ha registrado en el espacio de nombres del Instrumental de administración de Windows, root\Intel_ME, para usar la cuenta LocalSystem. Esta cuenta tiene privilegios y el proveedor puede originar una infracción de seguridad si no suplanta correctamente las solicitudes de usuarios."
Advertencia,25/11/2024 13:06:14,vmauthd,1000,Ninguno,SSLConfigLoad: Failed to load OpenSSL config file.

Error,25/11/2024 13:06:13,EventLog,6008,Ninguno,El cierre anterior del sistema a las 09:29:18 a. m. del ‎25/‎11/‎2024 resultó inesperado.
Advertencia,25/11/2024 13:06:12,LsaSrv,6155,Ninguno,"El paquete LSA no está firmado como se esperaba. Esto puede provocar un comportamiento inesperado con Credential Guard.

PackageName: msv1_0"
Advertencia,25/11/2024 13:06:12,LsaSrv,6155,Ninguno,"El paquete LSA no está firmado como se esperaba. Esto puede provocar un comportamiento inesperado con Credential Guard.

PackageName: sfapm"
